#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
15,hrome://settings/search,chrome://设置/搜索,de,12,627000,0.15,,hrome://settings/search,2025-10-21 21:34:10,"Video preview,Sitelinks",756000,682000,820000,2023-02-25,"Informational,Navigational,Non-branded,Non-local"
16,sex,性别,de,14,603000,0.15,0.86,sex,2025-10-21 16:42:25,"Sitelinks,People also ask",27350000,126000,177000,2015-09-01,"Informational,Non-branded,Non-local"
17,погода,天气,de,24,591000,0.10,0.42,погода,2025-10-21 17:47:52,Sitelinks,46610000,56000,8230000,2015-09-01,"Informational,Non-branded,Non-local"
18,aktuelle nachrichten,当前新闻,de,97,557000,0.10,1.17,nachrichten,2025-10-21 23:16:32,"Top stories,Thumbnail,Sitelinks",602000,2530000,2690000,2015-09-01,"Informational,Non-branded,Non-local"
19,internet speed test,互联网速度测试,de,67,548000,0.30,1.19,speedtest,2025-10-21 18:35:23,"Knowledge card,Sitelinks",16920000,1270000,1490000,2015-09-01,"Informational,Non-branded,Non-local"
20,berlin,柏林,de,92,541000,0.30,0.54,berlin,2025-10-22 00:24:39,"Top stories,Thumbnail,Knowledge panel,Sitelinks",1430000,198000,199000,2015-09-01,"Informational,Non-branded,Local"
21,euro to inr,欧元 兑换 印度卢比,de,13,527000,1.20,0.34,euro to inr,2025-10-21 08:59:53,"People also ask,Sitelinks",3100000,53000,186000,2015-09-01,"Informational,Non-branded,Non-local"
22,weather tomorrow,明天的天气,de,4,521000,0.20,0.28,weather,2025-10-21 13:29:26,"People also ask,Sitelinks",75750000,53000,55000,2015-09-06,"Informational,Non-branded,Non-local"
23,übersetzung,翻译,de,86,517000,0.15,0.19,übersetzer,2025-10-24 13:22:24,"Knowledge card,Sitelinks,Video preview",571000,1390000,1790000,2015-09-01,"Informational,Non-branded,Non-local"
24,heizölpreise,取暖油价格,de,22,506000,0.15,1.23,heizölpreise,2025-10-24 09:49:17,"Thumbnail,Sitelinks,People also ask,Top stories,Bottom ads",534000,598000,605000,2015-09-01,"Informational,Non-branded,Non-local"
25,ladies.de,女士网,de,49,470000,0.25,1.08,ladies.de,2025-10-24 06:28:26,Sitelinks,484000,800000,815000,2015-09-01,"Informational,Non-branded,Non-local"
26,black friday 2024,2024 年黑色星期五,de,34,453000,0.10,,black friday,2025-10-20 20:49:03,"People also ask,Knowledge panel",3080000,148000,152000,2017-11-24,"Informational,Commercial,Non-branded,Non-local"
27,speed test,速度测试,de,71,449000,0.30,1.17,speedtest,2025-10-21 19:05:51,"Knowledge card,Sitelinks,People also ask",54260000,1270000,1490000,2015-09-01,"Informational,Non-branded,Non-local"
28,handball wm 2025,2025 年手球世界杯,de,8,430000,0.10,,handball wm 2024,2025-10-21 07:16:13,"People also ask,Sitelinks",471000,133000,140000,2017-01-20,"Informational,Non-branded,Non-local"
29,pogoda,天气,de,35,422000,0.20,0.4,pogoda bad soden,2025-10-21 18:08:57,"Knowledge card,Sitelinks",19090000,10,10,2015-09-01,"Informational,Non-branded,Non-local"
30,kombination wärmepumpe photovoltaik,热泵光伏组合,de,1,416000,0.80,,kombination wärmepumpe photovoltaik,2025-10-21 05:04:03,People also ask,429000,152000,152000,2016-08-11,"Informational,Non-branded,Non-local"
31,affenpocken,猴痘,de,9,403000,0.40,0.96,affenpocken,2025-10-21 14:20:13,"Featured snippet,Thumbnail,People also ask,Knowledge panel",467000,388000,388000,2015-10-08,"Informational,Non-branded,Non-local"
32,türkei,土耳其,de,17,403000,0.20,0.95,türkei,2025-10-22 02:16:34,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",478000,49000,55000,2015-09-01,"Informational,Non-branded,Non-local"
33,hamburg,汉堡,de,89,386000,0.35,0.49,hamburg,2025-10-21 23:04:45,"Top stories,Thumbnail,Knowledge panel,Sitelinks",677000,20000,20000,2015-09-01,"Informational,Non-branded,Local"
34,deutschland,德国,de,77,384000,0.10,0.49,deutschland,2025-10-21 11:28:52,"Top stories,Thumbnail,Knowledge panel,Sitelinks,Video preview,People also ask",502000,54000,63000,2015-09-01,"Informational,Non-branded,Non-local"
35,dsl speedtest,DSL速度测试,de,69,371000,0.35,1.22,speedtest,2025-10-24 17:14:55,"Knowledge card,Sitelinks,Video preview",391000,253000,254000,2015-09-01,"Informational,Non-branded,Non-local"
36,pdf zusammenfügen,合并pdf,de,26,359000,0.10,1.26,pdf zusammenfügen,2025-10-22 02:43:22,Video preview,457000,222000,259000,2015-09-01,"Informational,Non-branded,Non-local"
37,muttertag 2025,2025 年母亲节,de,1,351000,0.10,,wann ist muttertag 2025,2025-10-24 03:48:14,"People also ask,Thumbnail,Knowledge panel",384000,19000,19000,2017-10-02,"Informational,Non-branded,Non-local"
38,fernsehprogramm jetzt,现在电视节目,de,53,350000,0.10,1.03,tv programm,2025-10-22 20:08:56,"Sitelinks,People also ask",395000,884000,938000,2015-09-01,"Informational,Non-branded,Non-local"
39,münchen,慕尼黑,de,94,345000,0.15,0.55,münchen,2025-10-24 03:24:00,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",436000,29000,30000,2015-09-01,"Informational,Non-branded,Local"
40,steuererklärung 2023 frist,2023 年纳税申报截止日期,de,12,344000,0.60,,steuererklärung 2023 frist,2025-10-21 17:01:43,"Featured snippet,People also ask",345000,225000,225000,2022-04-06,"Informational,Non-branded,Non-local"
41,goldpreis aktuell,当前黄金价格,de,46,340000,0.15,1.11,goldpreis,2025-10-21 16:14:24,"Sitelinks,Top stories,Thumbnail,People also ask",392000,987000,1070000,2015-09-01,"Informational,Non-branded,Non-local"
42,livescore,即时比分,de,80,338000,0.10,1.09,livescore,2025-10-24 15:07:12,"Sitelinks,Thumbnail,Video preview",18450000,272000,319000,2015-09-01,"Informational,Non-branded,Non-local"
43,lamine yamal,拉明亚马尔,de,11,333000,0.15,,lamine yamal,2025-10-22 06:41:38,"Top stories,Thumbnail,Sitelinks,People also ask,Video preview,Knowledge panel",4780000,52000,62000,2020-01-14,"Informational,Non-branded,Non-local"
44,vermisste person,失踪人员,de,12,327000,0.25,0.74,aktuell vermisste personen,2025-10-21 00:23:37,"Top stories,Thumbnail,People also ask,Knowledge panel",374000,1700,1800,2015-10-03,"Informational,Non-branded,Non-local"
45,em frauen,在女人中,de,16,320000,0.20,0.92,frauen em,2025-10-20 22:35:48,"People also ask,Sitelinks,Top stories,Thumbnail",363000,159000,161000,2015-09-18,"Informational,Non-branded,Non-local"
46,ki,到,de,59,319000,0.90,0.6,gemini,2025-10-21 12:06:28,"Top ads,People also ask,Sitelinks,Knowledge panel,Top stories,Thumbnail,Bottom ads",807000,246000,273000,2015-09-01,"Informational,Non-branded,Non-local"
47,köln,科隆,de,89,311000,0.15,0.49,köln,2025-10-21 10:53:31,"Top stories,Thumbnail,Knowledge panel,Sitelinks",398000,15000,17000,2015-09-01,"Informational,Non-branded,Local"
48,happy birthday,生日快乐,de,3,311000,0.10,0.33,happy birthday,2025-10-21 09:59:36,"Video preview,People also ask,Thumbnail,Sitelinks",4070000,65000,65000,2015-09-01,"Informational,Non-branded,Non-local"
49,hitzewarnung,高温警告,de,17,302000,0.25,0.99,hitzewarnung,2025-10-21 08:12:27,People also ask,306000,288000,290000,2015-09-01,"Informational,Non-branded,Non-local"
50,währungsrechner,货币计算器,de,52,301000,0.10,0.92,währungsrechner,2025-10-24 00:37:42,Sitelinks,473000,219000,247000,2015-09-01,"Informational,Non-branded,Non-local"
51,rentner,养老金领取者,de,6,300000,0.10,0.42,renten news,2025-10-21 08:08:28,"Top stories,Thumbnail,People also ask,Knowledge panel,Sitelinks",328000,4400,4400,2015-09-01,"Informational,Non-branded,Non-local"
52,apotheke,药店,de,85,292000,0.60,0.54,shop apotheke,2025-10-24 05:34:42,"Local pack,Knowledge panel,Thumbnail,Sitelinks",371000,825000,831000,2015-09-01,"Commercial,Transactional,Non-branded,Non-local"
53,horoskop,星座运势,de,37,287000,0.10,1.38,horoskop erich bauer,2025-10-24 09:52:54,"Top stories,Thumbnail,Sitelinks,People also ask,Video preview",1080000,51000,60000,2015-09-01,"Informational,Non-branded,Non-local"
54,barcelona,巴塞罗那,de,21,283000,0.20,0.43,barcelona,2025-10-21 09:14:19,"Thumbnail,Sitelinks,People also ask,Top stories",22290000,64000,79000,2015-09-01,"Informational,Non-branded,Local"
55,tv,电视,de,84,277000,0.25,0.96,fernsehprogramm heute,2025-10-21 10:53:05,"Thumbnail,Sitelinks",2750000,1790000,1850000,2015-09-01,"Informational,Non-branded,Non-local"
56,news aktuell,当前新闻,de,96,273000,0.15,0.96,ntv,2025-10-21 09:33:07,"Top stories,Thumbnail,Sitelinks",307000,7640000,8140000,2015-09-01,"Informational,Non-branded,Non-local"
57,fussball,足球,de,80,272000,0.15,0.68,fussball,2025-10-21 13:45:23,"Sitelinks,Top stories,Thumbnail,Knowledge panel",335000,277000,279000,2015-09-01,"Informational,Non-branded,Non-local"
58,thomas müller,托马斯·穆勒,de,36,265000,0.10,0.55,thomas müller,2025-10-21 17:02:43,"Top stories,Thumbnail,Knowledge panel,People also ask,Sitelinks",464000,21000,22000,2015-09-01,"Informational,Non-branded,Non-local"
59,magdeburg weihnachtsmarkt,马格德堡圣诞市场,de,7,262000,0.10,0.77,weihnachtsmarkt magdeburg,2025-10-21 15:10:50,"Top stories,Thumbnail,Knowledge panel",283000,38000,40000,2015-09-11,"Informational,Non-branded,Local"
60,bürgergeld,公民津贴,de,54,261000,0.30,0.98,bürgergeld beantragen,2025-10-21 20:58:10,"Top stories,Thumbnail,People also ask,Knowledge panel,Sitelinks",268000,22000,22000,2015-09-03,"Informational,Non-branded,Non-local"
61,prozentrechner,百分比计算器,de,5,259000,1.00,1.15,prozentrechner,2025-10-20 18:57:54,"Sitelinks,Video preview",312000,158000,201000,2015-09-01,"Informational,Non-branded,Non-local"
62,hm,嗯,de,83,258000,0.35,1.02,h&m,2025-10-22 17:51:44,"Sitelinks,Local pack,Video preview",4140000,1020000,1020000,2015-09-01,"Informational,Navigational,Commercial,Non-branded,Non-local"
63,black friday,黑色星期五,de,40,258000,0.25,0.85,black friday,2025-10-21 22:40:32,"Knowledge card,People also ask,Sitelinks,Knowledge panel",3210000,56000,66000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
64,florian wirtz,弗洛里安·维尔茨,de,12,255000,0.35,,florian wirtz,2025-10-24 10:49:00,"Top stories,Thumbnail,Sitelinks,People also ask,Video preview,Knowledge panel",723000,72000,72000,2016-11-29,"Informational,Non-branded,Non-local"
65,airfryer,空气炸锅,de,4,254000,0.20,0.73,ninja airfryer,2025-10-21 11:45:33,"People also ask,Shopping,Thumbnail",1930000,253000,265000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
66,jobbörse,工作交换,de,85,253000,0.25,1.06,jobbörse,2025-10-21 04:16:07,"Top ads,Sitelinks,Bottom ads,Paid sitelinks",259000,500000,507000,2015-09-01,"Informational,Non-branded,Non-local"
67,ladies de,女士们的,de,28,250000,0.25,1.11,ladies.de,2025-10-24 07:55:14,Sitelinks,262000,800000,815000,2015-09-01,"Informational,Non-branded,Non-local"
68,bayern,拜仁,de,77,250000,0.30,0.45,bayern,2025-10-22 02:20:44,"Top stories,Thumbnail,Knowledge panel,Sitelinks",3030000,27000,30000,2015-09-01,"Informational,Non-branded,Non-local"
69,leipzig,莱比锡,de,87,245000,0.15,0.5,stadt leipzig,2025-10-21 08:57:42,"Thumbnail,Sitelinks,People also ask,Knowledge panel,Top stories",671000,5000,5400,2015-09-01,"Informational,Non-branded,Local"
70,corona zahlen,支付电晕,de,60,245000,0.20,,corona zahlen,2025-10-24 10:00:23,"Sitelinks,Thumbnail,People also ask,Top stories",248000,40000,40000,2020-01-27,"Informational,Non-branded,Non-local"
71,переводчик с русского на немецкий,翻译从 俄语 到 德语,de,40,244000,0.15,0.51,переводчик с русского на немецкий,2025-10-24 20:49:07,"Knowledge card,Sitelinks,Video preview",310000,35000,49000,2015-09-01,"Informational,Non-branded,Non-local"
72,fußball,足球,de,75,244000,0.30,0.58,fussball,2025-10-24 18:58:31,"Top stories,Thumbnail,Sitelinks,Knowledge panel,People also ask,Video preview",278000,277000,279000,2015-09-01,"Informational,Non-branded,Non-local"
73,hämorrhoiden,痔疮,de,51,243000,0.10,0.75,hämorrhoiden,2025-10-21 20:45:13,"Featured snippet,Thumbnail,People also ask,Sitelinks,Knowledge panel",290000,30000,52000,2015-09-01,"Informational,Non-branded,Non-local"
74,präsidentschaftswahl in den vereinigten staaten 2024,2024 年美国总统选举,de,4,240000,0.45,,präsidentschaftswahl usa,2025-10-21 01:43:47,"Featured snippet,Thumbnail,Knowledge panel,Top stories",255000,537000,632000,2022-12-01,"Informational,Non-branded,Non-local"
75,online casino,网上赌场,de,87,237000,4.00,1.29,online casino,2025-10-23 11:42:18,,1060000,351000,354000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
76,погода завтра,明天的天气,de,0,237000,0.10,0.15,какая завтра погода,2025-10-19 14:05:30,,18680000,450,450,2015-10-04,"Informational,Non-branded,Non-local"
77,sommerferien niedersachsen 2024,暑假 下萨克森 2024,de,1,233000,0.15,,sommerferien niedersachsen 2024,2025-10-24 08:27:17,"People also ask,Sitelinks,Knowledge panel",233000,167000,167000,2017-01-05,"Informational,Non-branded,Local"
78,t,t,de,96,231000,0.15,0.7,t-online,2025-10-24 07:02:12,"Sitelinks,Top stories,Thumbnail,People also ask",5460000,4550000,4660000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
79,halloween,万圣节,de,19,231000,0.15,0.35,halloween,2025-10-21 05:37:53,"Knowledge card,People also ask,Thumbnail,Top stories,Knowledge panel,Sitelinks",3640000,16000,19000,2015-09-01,"Informational,Non-branded,Non-local"
80,helene fischer,海伦·费舍尔,de,25,231000,0.25,0.84,helene fischer,2025-10-21 19:36:22,"Top stories,Thumbnail,Knowledge panel,People also ask,Sitelinks,Video preview",339000,26000,28000,2015-09-01,"Informational,Non-branded,Non-local"
81,chat,聊天,de,67,231000,0.20,0.97,chatgpt,2025-10-24 19:59:11,"Sitelinks,People also ask,Knowledge panel,Video preview",6490000,13840000,432900000,2015-09-01,"Informational,Non-branded,Non-local"
82,biathlon,冬季两项,de,31,229000,0.60,0.95,biathlon,2025-10-23 04:12:55,"Top stories,Thumbnail,People also ask,Knowledge panel,Sitelinks,Video preview",524000,76000,77000,2015-09-01,"Informational,Non-branded,Non-local"
83,muttertag,母亲节,de,5,226000,0.60,0.34,muttertag,2025-10-21 20:14:38,"Knowledge card,Thumbnail,People also ask,Knowledge panel",289000,28000,32000,2015-09-01,"Informational,Non-branded,Non-local"
84,ralph lauren,拉尔夫·劳伦,de,7,224000,0.30,0.78,polo ralph lauren,2025-10-21 03:39:53,"Sitelinks,Thumbnail,Shopping Ads,Shopping,Local pack",2170000,129000,132000,2015-09-01,"Informational,Navigational,Commercial,Non-branded,Non-local"
85,weltkarte,世界地图,de,2,218000,0.10,0.81,welt karte,2025-10-24 07:25:16,"Thumbnail,People also ask,Knowledge panel,Video preview",280000,11000,22000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
86,dubai,迪拜,de,26,218000,0.20,0.49,dubai,2025-10-21 00:48:03,"Thumbnail,Sitelinks,People also ask,Knowledge panel,Top stories",3300000,23000,29000,2015-09-01,"Informational,Non-branded,Local"
87,www,万维网,de,98,218000,0.30,0.37,spiegel,2025-10-21 20:22:49,Knowledge panel,3980000,2410000,2820000,2015-09-01,"Informational,Non-branded,Non-local"
88,frankfurt,法兰克福,de,90,215000,0.10,0.37,frankfurt,2025-10-21 15:12:37,"Thumbnail,Sitelinks,Knowledge panel,Top stories,People also ask",677000,25000,27000,2015-09-01,"Informational,Non-branded,Local"
89,italien,意大利,de,27,215000,0.20,0.5,italien,2025-10-21 06:04:19,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask",338000,47000,57000,2015-09-01,"Informational,Non-branded,Non-local"
90,urlaub,假期,de,73,211000,0.35,0.82,ab in den urlaub,2025-10-21 23:38:52,"Sitelinks,Thumbnail,People also ask",242000,278000,298000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
91,sommerferien 2025,2025年暑假,de,27,209000,0.10,,sommerferien 2025,2025-10-22 00:30:04,"People also ask,Knowledge panel",224000,80000,80000,2016-06-23,"Informational,Non-branded,Non-local"
92,hund,狗,de,7,209000,0.15,0.39,hund,2025-10-21 10:12:57,"Thumbnail,Top stories,People also ask,Knowledge panel",368000,14000,19000,2015-09-01,"Informational,Non-branded,Non-local"
93,was bedeutet,什么意思,de,3,208000,0.45,0.08,was bedeutet,2025-10-23 11:35:53,"Knowledge card,People also ask,Sitelinks,Video preview",241000,1100,1400,2015-09-01,"Informational,Non-branded,Non-local"
94,englisch übersetzer,英语翻译,de,77,208000,0.15,0.34,übersetzer,2025-10-23 11:42:55,"Knowledge card,Sitelinks,Video preview",235000,1400000,1800000,2015-09-01,"Informational,Non-branded,Non-local"
95,madeira,马德拉,de,24,208000,0.25,0.52,madeira,2025-10-21 00:34:46,"Knowledge panel,People also ask,Thumbnail,Sitelinks",1120000,23000,30000,2015-09-01,"Informational,Non-branded,Non-local"
96,gebrauchtwagen,二手车,de,44,206000,0.25,1.02,12 gebrauchtwagen,2025-10-21 22:16:37,Sitelinks,349000,20000,28000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
97,heidelberg,海德堡,de,77,206000,0.20,0.43,heidelberg,2025-10-24 08:12:37,"Knowledge panel,Sitelinks,Top stories,Thumbnail,People also ask,Video preview",406000,9500,9800,2015-09-01,"Informational,Non-branded,Local"
98,tv programm jetzt,现在的电视节目,de,66,206000,0.70,1,tv programm,2025-10-21 13:01:35,People also ask,233000,896000,951000,2015-09-01,"Informational,Non-branded,Non-local"
99,adventskalender,降临节日历,de,10,202000,0.25,0.61,isana adventskalender,2025-10-22 01:30:56,"Shopping,Thumbnail",316000,3000,3100,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
100,nachrichten heute eilmeldung,今日新闻 突发新闻,de,96,202000,0.15,,nachrichten heute eilmeldung,2025-10-21 11:55:23,"Sitelinks,People also ask",235000,46000,52000,2016-12-19,"Informational,Non-branded,Non-local"
101,dresden,德累斯顿,de,84,201000,0.25,0.47,dresden aktuell,2025-10-24 18:56:34,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",350000,8600,8700,2015-09-01,"Informational,Non-branded,Local"
102,heißluftfritteuse,热空气炸锅,de,0,198000,0.25,0.9,ninja airfryer,2025-10-22 10:53:30,"Sitelinks,People also ask,Video preview,Shopping,Thumbnail",226000,247000,258000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
103,warnung vor starkem gewitter,强烈雷暴警告,de,54,196000,0.25,,warnung vor starkem gewitter,2025-10-21 13:58:44,"People also ask,Sitelinks",198000,42000,42000,2021-05-05,"Informational,Non-branded,Non-local"
104,warnung vor sturmböen,暴风雨警告,de,54,196000,0.25,,warnung vor sturmböen,2025-10-21 05:00:40,"Sitelinks,People also ask",197000,145000,146000,2015-11-17,"Informational,Non-branded,Non-local"
105,lebenslauf,简历,de,51,195000,1.00,1.21,lebenslauf,2025-10-24 12:26:59,"Sitelinks,People also ask,Thumbnail,Knowledge panel",247000,62000,69000,2015-09-01,"Informational,Non-branded,Non-local"
106,kindergeld 2025,2025 年儿童福利,de,37,194000,0.50,,kindergeld auszahlung,2025-10-24 11:24:54,"People also ask,AI Overview",207000,352000,356000,2015-12-31,"Informational,Non-branded,Non-local"
107,akustikpaneele,隔音板,de,18,192000,0.45,1.06,akustikpaneele,2025-10-24 14:56:56,"Sitelinks,People also ask,Video preview",220000,78000,79000,2015-09-15,"Informational,Commercial,Transactional,Non-branded,Non-local"
108,shirin david,大卫节目,de,22,190000,0.15,0.68,shirin david,2025-10-21 11:02:04,"Thumbnail,People also ask,Knowledge panel,Top stories,Video preview",225000,65000,74000,2015-09-01,"Informational,Non-branded,Non-local"
109,ukraine aktuell,目前乌克兰,de,38,189000,0.15,0.86,ukraine news,2025-10-22 13:23:26,"Top stories,Thumbnail,Sitelinks,Video preview",221000,238000,271000,2015-09-01,"Informational,Non-branded,Non-local"
110,mallorca,马洛卡,de,22,188000,0.25,0.5,mallorca,2025-10-21 04:08:30,"Knowledge panel,Top stories,Thumbnail,People also ask,Sitelinks",996000,5700,8900,2015-09-01,"Informational,Non-branded,Local"
111,kennzeichen,标记,de,34,187000,0.40,0.42,autokennzeichen,2025-10-21 11:31:18,Sitelinks,206000,172000,190000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
112,go,去,de,62,186000,0.10,0.13,go,2025-10-21 21:32:34,Sitelinks,5620000,15000,17000,2015-09-01,"Informational,Non-branded,Non-local"
113,anime,日本动画片,de,19,184000,0.10,0.5,anime,2025-10-21 13:56:03,"People also ask,Sitelinks",8250000,22000,24000,2015-09-01,"Informational,Non-branded,Non-local"
114,china,中国,de,16,182000,0.10,0.59,china,2025-10-24 23:56:19,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",3260000,16000,18000,2015-09-01,"Informational,Non-branded,Non-local"
115,lebenslauf vorlage,简历模板,de,26,182000,0.80,1.49,lebenslauf vorlage,2025-10-24 13:56:56,"Thumbnail,Sitelinks,People also ask",220000,185000,195000,2015-09-01,"Informational,Non-branded,Non-local"
116,stuttgart,斯图加特,de,91,181000,0.20,0.33,stuttgart,2025-10-21 11:10:15,"Thumbnail,Sitelinks,Knowledge panel,Top stories,People also ask",522000,2300,2700,2015-09-01,"Informational,Non-branded,Local"
117,ashwagandha,阿什瓦甘达,de,48,180000,0.40,0.89,ashwagandha wirkung,2025-10-21 14:52:14,"People also ask,Knowledge panel",2910000,41000,42000,2015-09-01,"Informational,Non-branded,Non-local"
118,endometriose,子宫内膜异位症,de,53,179000,0.10,0.8,endometriose,2025-10-21 02:56:48,"Featured snippet,Thumbnail,People also ask,Sitelinks,Knowledge panel",743000,40000,40000,2015-09-01,"Informational,Non-branded,Non-local"
119,döner,旋转式,de,6,178000,0.25,0.34,döner,2025-10-21 10:12:10,"People also ask,Thumbnail",307000,21000,25000,2015-09-01,"Informational,Non-branded,Non-local"
120,gürtelrose,带状疱疹,de,41,178000,0.45,0.84,gürtelrose,2025-10-21 00:38:20,"Featured snippet,People also ask,Thumbnail,Knowledge panel,Sitelinks",219000,75000,76000,2015-09-01,"Informational,Non-branded,Non-local"
121,marco polo,马可波罗,de,45,178000,0.30,0.83,marc o polo,2025-10-22 00:28:53,"Sitelinks,Knowledge panel",556000,118000,127000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
122,modelle hamburg,汉堡模型,de,22,176000,0.35,1.06,modelle hamburg,2025-10-21 06:33:25,"Sitelinks,Knowledge panel",180000,174000,175000,2015-09-01,"Informational,Non-branded,Local"
123,amsterdam,阿姆斯特丹,de,23,175000,0.25,0.39,amsterdam,2025-10-23 21:02:40,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Video preview",2030000,7400,11000,2015-09-01,"Informational,Non-branded,Local"
124,kalender,日历,de,48,172000,0.10,0.75,kalender,2025-10-21 17:22:03,"Sitelinks,Shopping Ads,Thumbnail,Bottom ads,Paid sitelinks",569000,61000,62000,2015-09-01,"Informational,Non-branded,Non-local"
125,thailand,泰国,de,30,172000,0.25,0.51,thailand,2025-10-22 23:01:35,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Video preview",1920000,13000,17000,2015-09-01,"Informational,Non-branded,Non-local"
126,schwarzkümmelöl,黑孜然油,de,24,171000,0.50,0.92,schwarzkümmelöl,2025-10-21 22:16:32,"Thumbnail,People also ask,Knowledge panel,Sitelinks",207000,67000,67000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
127,mauritius,毛里求斯,de,3,171000,0.25,0.53,mauritius,2025-10-24 15:30:53,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Video preview,Top stories",1250000,14000,19000,2015-09-01,"Informational,Non-branded,Non-local"
128,malta,马耳他,de,26,171000,0.25,0.5,malta,2025-10-24 05:42:41,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Video preview",2210000,15000,20000,2015-09-01,"Informational,Non-branded,Non-local"
129,mannheim,曼海姆,de,86,171000,0.10,0.33,mannheim,2025-10-23 05:21:12,"Sitelinks,Thumbnail,Top stories,People also ask,Video preview,Knowledge panel",251000,5100,5300,2015-09-01,"Informational,Non-branded,Local"
130,paris,巴黎,de,9,170000,0.35,0.67,paris,2025-10-22 00:26:30,"Top stories,Thumbnail,Knowledge panel,Sitelinks,Video preview,People also ask",3040000,20000,23000,2015-09-01,"Informational,Non-branded,Local"
