#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
68,sista minuten,最后一刻,se,22,66000,0.20,1.36,sista minuten,2025-10-21 01:01:18,Sitelinks,69000,87000,90000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
69,bonnie blue,邦妮蓝,se,21,66000,0.25,,bonnie blue,2025-10-20 12:57:32,"Sitelinks,People also ask,Knowledge panel",3350000,22000,805000,2016-01-06,"Informational,Commercial,Non-branded,Non-local"
70,fråga på annat fordon,询问另一辆车,se,12,66000,1.40,1.12,fråga på annat fordon,2025-10-21 14:25:17,Sitelinks,68000,421000,423000,2015-09-01,"Informational,Non-branded,Non-local"
71,ugnspannkaka,烤箱煎饼,se,0,66000,0.10,1.17,ugnspannkaka,2025-10-24 04:24:18,"Top stories,Thumbnail,Video preview",68000,53000,54000,2015-09-01,"Informational,Non-branded,Non-local"
72,magma,岩浆,se,0,65000,0.10,0.41,matteappen,2025-10-24 12:53:45,"Sitelinks,People also ask,Video preview",266000,7400,7400,2015-09-03,"Informational,Non-branded,Non-local"
73,3,3,se,4,64000,0.20,0.92,tre,2025-10-24 10:08:22,"Sitelinks,People also ask,Knowledge panel,Thumbnail,Video preview",1880000,142000,142000,2015-09-01,"Informational,Non-branded,Non-local"
74,carinfo,车信息,se,0,63000,1.20,1.09,car info,2025-10-21 01:25:33,Sitelinks,184000,193000,193000,2016-05-17,"Informational,Non-branded,Non-local"
75,f,f,se,15,62000,0.15,0.87,facebook,2025-10-21 11:04:53,"Sitelinks,People also ask,Knowledge panel",9630000,1210000,1220000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
76,recept,食谱,se,45,61000,0.15,0.9,recept,2025-10-20 07:02:39,"Sitelinks,Top stories,Thumbnail",108000,29000,29000,2015-09-01,"Informational,Non-branded,Non-local"
77,översättning,翻译,se,3,61000,0.20,0.2,översättning,2025-10-20 23:43:21,Knowledge card,65000,18000,20000,2015-09-01,"Informational,Non-branded,Non-local"
78,karta,能,se,45,60000,0.20,0.31,google maps,2025-10-24 18:08:49,"Thumbnail,Video preview",109000,15000,8380000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
79,göteborg,哥德堡,se,81,59000,0.20,0.38,göteborgs stad,2025-10-21 07:06:22,"Knowledge panel,Sitelinks,Top stories,Thumbnail,People also ask",126000,29000,30000,2015-09-01,"Informational,Non-branded,Local"
80,tareq taylor,塔里克·泰勒,se,2,59000,0.15,0.63,tareq taylor,2025-10-24 19:21:56,"People also ask,Knowledge panel,Thumbnail,Video preview",62000,9400,9400,2015-09-03,"Informational,Non-branded,Non-local"
81,scones,烤饼,se,0,59000,0.30,1.14,scones,2025-10-24 09:05:40,"Top stories,Thumbnail,Video preview,People also ask",445000,91000,91000,2015-09-01,"Informational,Non-branded,Non-local"
82,sudoku,数独,se,83,58000,0.15,1.01,sudoku,2025-10-21 10:17:29,"Sitelinks,Knowledge panel",6580000,19000,3250000,2015-09-01,"Non-branded,Non-local"
83,sushi,寿司,se,32,57000,0.20,0.39,sushi,2025-10-24 09:05:04,"People also ask,Thumbnail,Sitelinks",2300000,1700,1700,2015-09-01,"Informational,Non-branded,Non-local"
84,salsicciapasta,香肠意大利面,se,0,57000,0.60,,salsicciapasta,2025-10-22 23:54:01,"Top stories,Thumbnail,Video preview",58000,6000,6100,2017-05-03,"Informational,Non-branded,Non-local"
85,översätt engelska till svenska,将英语翻译成瑞典语,se,5,56000,0.15,0.3,översättning,2025-10-21 03:06:25,"Knowledge card,People also ask",59000,18000,20000,2015-09-03,"Informational,Non-branded,Non-local"
86,solitaire,纸牌,se,88,56000,0.25,0.85,solitaire online,2025-10-18 22:23:54,"Thumbnail,Sitelinks,Knowledge panel",17470000,7400,4930000,2015-09-01,"Non-branded,Non-local"
87,kladdkaka recept,刮蛋糕食谱,se,2,55000,0.20,1.19,kladdkaka,2025-10-21 09:56:23,"Top stories,Thumbnail",60000,149000,151000,2015-09-01,"Informational,Non-branded,Non-local"
88,hm home,嗯回家,se,22,55000,0.40,0.98,hm home,2025-10-19 12:54:21,Sitelinks,211000,61000,61000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
89,pernilla wahlgren,佩尼拉·瓦尔格伦,se,8,54000,0.50,0.8,pernilla wahlgren,2025-10-20 18:35:43,"Sitelinks,Thumbnail,Knowledge panel,People also ask",67000,46000,46000,2015-09-01,"Informational,Non-branded,Non-local"
90,matilda djerf,玛蒂尔达敢于,se,9,53000,0.40,0.95,matilda djerf,2025-10-24 20:57:44,"Thumbnail,People also ask",129000,30000,37000,2016-02-03,"Informational,Non-branded,Non-local"
91,h,小时,se,42,53000,0.10,0.44,h,2025-10-21 01:21:31,"AI Overview,Thumbnail,People also ask,Sitelinks,Knowledge panel,Video preview",5190000,5200,5200,2015-09-01,"Informational,Non-branded,Non-local"
92,e,e,se,55,53000,0.35,0.44,expressen,2025-10-24 15:26:58,"Knowledge card,Sitelinks,People also ask,Top stories,Thumbnail,Video preview",3700000,3350000,3600000,2015-09-01,"Informational,Non-branded,Non-local"
93,millie bobby brown,米莉·鲍比·布朗,se,66,52000,0.70,0.42,millie bobby brown,2025-10-21 15:08:19,"Knowledge panel,Thumbnail,People also ask,Sitelinks,Video preview",3510000,5700,175000,2016-07-15,"Informational,Non-branded,Non-local"
94,köttfärssås,肉末酱,se,0,52000,0.15,1.34,köttfärssås,2025-10-24 07:42:53,"Thumbnail,Top stories,People also ask,Video preview",54000,33000,33000,2015-09-01,"Informational,Non-branded,Non-local"
95,hotels,酒店,se,61,51000,1.70,1,hotels,2025-10-21 10:12:25,Sitelinks,1190000,51000,52000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
96,ppm,百万分之一,se,0,51000,0.45,1.01,pensionsmyndigheten,2025-10-21 01:28:41,Sitelinks,246000,353000,367000,2015-09-01,"Informational,Non-branded,Non-local"
97,sista minuten resor,最后一刻的旅行,se,18,50000,0.20,1.55,sista minuten,2025-10-24 10:35:23,"Top ads,Sitelinks,People also ask,Bottom ads,Paid sitelinks",52000,97000,99000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
98,deklaration 2025,宣言2025,se,5,50000,0.45,,deklaration 2025,2025-10-21 07:58:13,"Sitelinks,People also ask",51000,26000,26000,2024-02-06,"Informational,Non-branded,Non-local"
99,sydney sweeney,悉尼斯威尼,se,63,50000,0.60,0.51,sydney sweeney,2025-10-21 10:55:30,"Knowledge panel,People also ask,Thumbnail,Sitelinks",8580000,5000,775000,2017-06-13,"Informational,Non-branded,Non-local"
100,english to swedish,英语 到 瑞典语,se,24,50000,0.10,0.2,translate,2025-10-24 23:14:59,"Knowledge card,People also ask,Video preview",139000,61000,67000,2015-09-01,"Informational,Non-branded,Non-local"
101,skor,分数,se,33,49000,0.25,1.17,boozt skor,2025-10-21 17:00:43,"Thumbnail,Sitelinks",106000,1200,1300,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
102,kreatin,肌酸,se,1,49000,0.70,0.89,kreatin,2025-10-24 20:26:44,"People also ask,Knowledge panel,Shopping,Thumbnail,Video preview",338000,7900,7900,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
103,halloween,万圣节,se,25,49000,0.25,0.4,halloween,2025-10-21 16:17:14,"Knowledge card,People also ask,Thumbnail,Knowledge panel,Sitelinks",3640000,6300,6300,2015-09-01,"Informational,Non-branded,Non-local"
104,pinsa,表哥,se,0,48000,0.10,,pinsa,2025-10-21 19:55:28,"Thumbnail,Sitelinks,Top stories,People also ask",319000,26000,26000,2015-09-07,"Informational,Non-branded,Non-local"
105,parfym,香水,se,24,48000,0.35,1.14,parfym,2025-10-24 21:59:18,"Sitelinks,Shopping,Thumbnail,People also ask,Video preview",50000,41000,41000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
106,translator,翻译者,se,77,47000,0.15,0.18,translate,2025-10-21 12:14:04,Knowledge card,9780000,341000,345000,2015-09-01,"Informational,Non-branded,Non-local"
107,picklad rödlök,腌红洋葱,se,0,47000,0.15,1.3,picklad rödlök,2025-10-24 10:40:06,"Top stories,Thumbnail,Video preview",48000,22000,23000,2015-09-01,"Informational,Non-branded,Non-local"
108,drive,驾驶,se,44,47000,0.45,0.03,drive,2025-10-24 14:54:16,Video preview,7490000,300,300,2015-09-01,"Informational,Non-branded,Non-local"
109,elbil,电动车,se,4,47000,1.00,1.08,elbil,2025-10-21 17:53:17,"Top stories,Thumbnail,Sitelinks",136000,10000,10000,2015-09-02,"Informational,Non-branded,Non-local"
110,ronaldo,罗纳尔多,se,84,47000,0.10,0.5,ronaldo,2025-10-21 01:01:31,"Thumbnail,People also ask,Knowledge panel,Sitelinks",4190000,37000,37000,2015-09-01,"Informational,Non-branded,Non-local"
111,uppsala,乌普萨拉,se,70,47000,0.10,0.37,uppsala kommun,2025-10-21 01:09:44,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask",144000,13000,13000,2015-09-01,"Informational,Non-branded,Local"
112,lax i ugn,烤箱里的鲑鱼,se,0,47000,0.15,1.13,lax i ugn,2025-10-21 04:03:29,"Top stories,Thumbnail,People also ask,Video preview",49000,21000,22000,2015-09-01,"Informational,Non-branded,Non-local"
113,t,t,se,10,47000,0.60,0.45,t,2025-10-21 01:23:48,"People also ask,Knowledge panel",5460000,9100,9100,2015-09-01,"Informational,Non-branded,Non-local"
114,bilförsäkring,汽车保险,se,42,46000,2.50,1.6,bilförsäkring,2025-10-21 16:02:23,"Thumbnail,Sitelinks",48000,37000,39000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
115,äppelpaj,苹果派,se,0,46000,0.10,1.2,äppelpaj,2025-10-20 20:26:07,"Thumbnail,Top stories,Video preview",49000,49000,50000,2015-09-01,"Informational,Non-branded,Non-local"
116,chili con carne,辣椒酱,se,0,46000,0.10,1.23,chili con carne,2025-10-24 07:02:28,"Top stories,Thumbnail,People also ask,Video preview",459000,42000,42000,2015-09-01,"Informational,Non-branded,Non-local"
117,örebro,厄勒布鲁,se,64,46000,0.35,0.34,örebro kommun,2025-10-21 19:27:21,"Sitelinks,Thumbnail,Knowledge panel,People also ask,Top stories",67000,19000,19000,2015-09-01,"Informational,Non-branded,Local"
118,m,米,se,0,46000,0.15,0.51,m,2025-10-19 13:47:29,"AI Overview,Sitelinks,People also ask",5720000,8600,8600,2015-09-01,"Informational,Non-branded,Non-local"
119,go,去,se,85,46000,0.35,0.1,go,2025-10-18 20:46:26,"Knowledge card,Sitelinks,People also ask",5620000,1400,478000,2015-09-01,"Informational,Non-branded,Non-local"
120,alexander isak,亚历山大·伊萨克,se,19,45000,0.10,0.89,alexander isak,2025-10-20 16:59:07,"Top stories,Thumbnail,Knowledge panel,Sitelinks",591000,6100,6100,2015-10-15,"Informational,Non-branded,Non-local"
121,elsparkcykel,电动自行车,se,2,45000,0.35,1.25,el scooter,2025-10-21 02:25:33,"Shopping,Thumbnail,Sitelinks,People also ask",46000,26000,26000,2015-09-04,"Informational,Commercial,Non-branded,Non-local"
122,spotpris el,现货电价,se,11,45000,0.20,1.3,spotpris el,2025-10-20 21:03:02,Sitelinks,47000,244000,248000,2015-09-01,"Informational,Non-branded,Non-local"
123,eur sek,欧元证券交易委员会,se,10,45000,0.20,0.46,euro till sek,2025-10-21 18:14:39,,64000,163000,169000,2015-09-01,"Informational,Non-branded,Non-local"
124,soffbord,茶几,se,1,45000,0.15,1.51,soffbord,2025-10-24 17:19:00,"Thumbnail,Shopping,Sitelinks",47000,3300,3500,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
125,hund,狗,se,35,44000,0.20,0.38,hund,2025-10-21 09:04:18,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask",368000,5800,5800,2015-09-01,"Informational,Non-branded,Non-local"
126,pizza,比萨,se,12,44000,0.15,0.45,pizza recept,2025-10-18 18:34:05,"Thumbnail,Sitelinks,Top stories,People also ask",5790000,3300,3400,2015-09-01,"Informational,Non-branded,Non-local"
127,översätt engelska,翻译英语,se,5,44000,0.15,0.21,translate swedish to english,2025-10-22 01:08:55,Knowledge card,45000,27000,34000,2015-09-01,"Informational,Non-branded,Non-local"
128,b,乙,se,0,44000,0.20,0.38,b,2025-10-20 13:55:29,"People also ask,Knowledge panel,Video preview",4980000,3000,3000,2015-09-01,"Informational,Non-branded,Non-local"
129,kycklinggryta,炖鸡,se,0,44000,0.10,1.21,kycklinggryta,2025-10-20 21:04:30,"Top stories,Thumbnail",45000,19000,20000,2015-09-01,"Informational,Non-branded,Non-local"
130,kalender 2024,日历 2024,se,0,44000,0.30,,kalender 2024,2025-10-21 19:09:31,Thumbnail,1030000,31000,31000,2017-06-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
131,mat,垫,se,64,44000,0.50,0.42,mat,2025-10-21 13:01:17,"Thumbnail,Sitelinks,Top stories",431000,14000,14000,2015-09-01,"Informational,Non-branded,Non-local"
132,timothée chalamet,蒂莫西·柴勒梅德,se,62,43000,0.15,0.5,timothée chalamet,2025-10-21 06:38:02,"Knowledge panel,People also ask,Thumbnail,Sitelinks",1960000,3800,3800,2015-09-15,"Informational,Non-branded,Non-local"
133,akustikpanel,隔音板,se,0,43000,0.25,1.18,akustikpanel,2025-10-21 09:04:15,"Shopping Ads,Thumbnail,Top ads,Paid sitelinks,Knowledge panel,Sitelinks,People also ask,Bottom ads",75000,20000,20000,2016-03-03,"Informational,Commercial,Non-branded,Non-local"
134,skatteåterbäring 2025,2025年退税,se,4,43000,0.70,,skatteåterbäring 2025,2025-10-21 01:12:12,"Featured snippet,People also ask",44000,88000,88000,2024-02-02,"Informational,Non-branded,Non-local"
135,taklampa,吸顶灯,se,0,43000,0.20,1.27,taklampa,2025-10-20 22:28:16,"Thumbnail,Sitelinks,Shopping",45000,39000,40000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
136,lamine yamal,拉明亚马尔,se,27,43000,0.15,,lamine yamal,2025-10-21 17:20:31,"Thumbnail,Knowledge panel,People also ask,Sitelinks",4780000,5300,5300,2020-10-28,"Informational,Non-branded,Non-local"
137,vinterdäck,冬季轮胎,se,8,43000,0.40,1.05,vinterdäck,2025-10-24 03:56:51,"People also ask,Thumbnail,Sitelinks,Video preview",45000,75000,76000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
